PaperIdentifier,RecipeText,TargetChemical
Evidence for a strain-tuned topological phase transition in ZrTe5,"Single-crystal ZrTe5 was grown with the flux method (21). Zr slugs (99.9% pure, Alfa Aesar) and Te shot (99.9999% pure, Alfa Aesar) were loaded into a quartz ampule in a Zr:Te ratio of 1:100. The ampule was warmed to 900°C in 9 hours, kept at 900°C for 72 hours, and then cooled to 505°C in 48 hours. To promote large crystal growth, the ampule was repetitively cooled to 440°C and warmed to 505°C. Last, the ampule was cooled to 460°C and decanted in a centrifuge at this temperature.",ZrTe5
Electron and Phonon Thermal Conduction in Epitaxial High-Tc Superconducting Films,,
Spin-orbital order and excitons in magnetoresistive HoBi,HoBi single crystals with mass of 10–50 mg were grown following a previously published procedure [34].,HoBi
Critical Neutron Scattering in SrTi03 and KMnF3,,
Superconductivity in the quaternary intermetallic compounds LnNi2B2C,"Samples were prepared by arc-melting and annealing. The starting materials were lanthanide metal shavings or sublimed dendrites (99.9 or 99.99% pure), Ni powder (99.99%) and coarse C (99.99%) and B (99.6%) powders. Samples of 0.75 g total weight were pressed into 0.25-inch-diameter pellets, which were then arc-melted under argon on a standard water-cooled copper hearth three times, with the melted button turned over between melts. Investigation of the Lu-Ni-B-C chemical system revealed the presence of superconductivity in quaternary Ni-rich compositions. From electron microscopy and powder X-ray diffraction, in conjunction with physical property measurements, we deduced that the superconductivity was associated with a phase of tetragonal symmetry, with unit-cell dimensions a= 3.46 A and c = 10.63 A. This phase was obtained as very well formed single crystals directly from melts of composition LuNi4B3C, mixed with finely crystalline Ni2B and very small quantities of a third phase. Single-crystal structure analysis revealed that the superconducting phase has the composition LuNi2B2C. Crystallized melts of this composition are not single-phase, showing that the new superconductor does not melt congruently. Annealing the arc-melted buttons (wrapped in tantalum foil, and sealed in evacuated quartz tubes) for 12-36 hours at 1,050-1,100 °C yielded polycrystalline material with less than 2% impurity phase present.",LuNi2B2C
Partially Gapped Fermi Surface in the Heavy-Electron Superconductor URu2Si2,"The polycrystalline URu2Si2 sample was prepared by the arc melting of high-purity elements (U, 99.97%; Ru, 99.96%; Si, 99.99999%) together on a water-cooled copper hearth in an argon atmosphere, followed by annealing at 900°C for one week.",URu2Si2
"Large, non-saturating magnetoresistance in WTe2","High-quality single crystals of WTe2 were grown by means of Br2 vapour transport. Tungsten powder (99.9%) was ground together with purified tellurium (99.99%), pressed into a pellet and heated in an evacuated quartz tube at 700 uC for 2 days; this was homogenized and then reheated at 750 uC for a further 2 days. This final pellet was ground into a fine powder and a temperature gradient of 100 uC between 750 and 650 uC in a three-zone furnace was used for crystal growth, with a Br 2 concentration of ,3m gm l21 in a sealed quartz tube for 1 week. Optimal crystals were obtained under these conditions; crystals grown at higher temperatures showed substantially lower residual resistivity ratios r(300 K)/r(2 K) and degraded magnetoresistance. The need to employ low-temperature synthesis to avoid defect formation that degrades properties is frequently observed in TMDs, for example in TiSe2 (ref. 31). The crystals grew as thin ribbons (Fig. 1b), with the long direction being the W–W chain direction and the larger flat faces being perpendicular to the stacking direction of the layers.",WTe2
"Weak Van der Waals Stacking, Wide-Range Band Gap, and Raman Study on Ultrathin Layers of Metal Phosphorus Trichalcogenides","Crystal Synthesis. A stoichiometric amount of high-purity elements (mole ratio M:P:chalcogen = 1:1:3, around 1 g in total) and iodine (about 10–20 mg) as a transport agent were sealed into a quartz ampule and kept in a two-zone furnace (650–600 °C). The length of the quartz ampule is about 16 cm with a 13 mm external diameter. The pressure inside the ampule was pumped down to 1×10–4 Torr. After 1 week of heating, the ampule was cooled down to room temperature with bulk crystals in the top.",2D semiconducting metal phosphorus trichalcogenides
Observation of Fermi arcs in the type-II Weyl semimetal candidate WTe2,"Whereas most of the previous measurements have been carried out on WTe2 crystals grown via chemical vapor transport using halogens as transport agents [36,44], we have grown WTe2 single crystals from a Te-rich binary melt. High purity, elemental W and Te were placed in alumina crucibles in W1Te99 and W2Te98 ratios. The crucibles were sealed in amorphous silica tubes and the ampoules were heated to 1000°C over 5 h, held at 1000°C for 10 h, and then slowly cooled to 460°C over 100 h and finally decanted using a centrifuge [45].",WTe2
Heavy-fermion superconductivity in CeCoIn5 at 2.3 K,"Single crystals of CeCoIn5 were synthesized from an In flux by combining stoichiometric amounts of Ce and Co with excess In in an alumina crucible and encapsulating the crucible in an evacuated quartz ampoule. Because of the deep eutectic formed between Ce and Co and the strong phase stability of CeIn3, growth of CeCoIn5 appears to be optimized in dilute (3 at.% Ce) melts with a two-stage cooling process—an initial rapid cooling from 1150 °C, where the molten material is homogenized, to 750°C and then a slower cool to 450°C, at which point the excess flux is removed with a centrifuge. The resultant crystals are well-separated, faceted platelets with characteristic dimensions 3 mm× 3 mm × 0.1 mm.",CeCoIn5
